Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
The Doodler;;United States;1974-1975;14;;;1974;;Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.;Hate Crime;;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Male;None
Marcelo Costa de Andrade;01.02.1967;Brazil;1991;14;;1967;1991;24;Raped and killed 14 children in Rio de Janeiro and Niteri. Drank the blood of his victims. Found not guilty by reason of insanity.;Sexual Predator, Vampire, Rapist, Pedophile, Necrophiliac;The Vampire of Niteri;Sexual Assault;Hedonistic;Male;Child;Mixed;None
Julio P??¬©rez Silva;7/15/1963;Chile;1998-2001;14;;1963;1998;35;Killed 14 women. Sentenced to life imprisonment in 2004.;Unknown;The Psychopath from Alto Hospicio;Femicide;Power and Hedonistic;Male;Adult;Female;None
Sergey Shipilov;5/17/1959;Russia;1995-1999;14;;1959;1995;36;"Killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment.";Unknown;Velsk Chikatilo;Femicide;Power and Hedonistic;Male;Adult;Female;None
Abdufatto Zamanov;04.07.1973;Russia;2002-2004;14;;1973;2002;29;"Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.";Rapist, Sexual Predator;;Power, Sexual Assault;Hedonistic;Male;Adult;Female;None
Jeong Nam-gyu;03.01.1969;South Korea;2004-2006;14;;1969;2004;35;"Kidnapped, raped and murdered people; committed suicide.";Rapist, Sexual Predator;;Sexual Assault;Hedonistic;Male;Adult;Mixed;None
Amir Qayyum;;Pakistan;2005;14;;;2005;;Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.;Hate Crime;The Brick Killer;Hate Crime/Power;Power/Control;Male;Adult;Male;None
Jake Bird;12/14/1901;United States;1930s-1947;13;44;1901;1930;29;Bird had an extensive criminal record including burglary and attempted murder. Bird was arrested in 1947 and was sentenced to death for the murders of two victims. In 1948, Bird was scheduled for execution but it was postponed when he confessed to a total;Rapist, Stalker, Sexual Predator;The Tacoma Ax-Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Belle Gunness;11/22/1859;United States;1900?-1908?;13;40+;1859;;;"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poison";Strangler, Stalker;Hell's Belle, Brynhild Paulsdatter ;Femicide;Power and Hedonistic;Female;Child;Female;None
Cleveland Torso Murderer;;United States;1934-1938;13;40+;;1934;;"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.";Hate Crime;;Power;Power;Female;Adult;Mixed;Derelicts/Homeless
Kaspars Petrovs;;Latvia;2003;13;38+;;2003;;Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.;Hate Crime;;Financial Gain;Hate Crime;Male;Adult;Male;Elderly
Richard Ramirez;2/29/1960;United States;1984-1985;13;20;1960;1984;24;Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles.Ramirez used a wide variety of weapons, including handguns, knives, a machete, a tire iron, and a hammer. Richard Ramirez was captured as a crowd of bystanders surrounded him, beat ;Rapist, Torturer, Strangler, Stalker, Sexual Predator;Night Stalker;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Sleepy Hollow Killer;;South Africa?Ç¬†South Africa;1990s-2007;13;16+;;1990;;Raped and murdered women, mostly sex workers, around Pietermaritzburg and the Midlands of KwaZulu-Natal.;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Peter Sutcliffe;06.02.1946;United Kingdom;1975-1980;13;15;1946;1975;29;Killed 13 women between 30 October 1975, and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliff;Unknown;Yorkshire Ripper;Femicide;Power and Hedonistic;Female;Adult;Female;None
Francisco Antonio Laureana;;Argentina;1974-1975;13;13+;;1974;;Raped 15 women in San Isidro, killing 13 of them. Shot and killed during a firefight with police.[140];Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Tamara Samsonova;4/25/1947;Russia;1995-2015;13;13+;1947;1995;48;"Killed and allegedly cannibalized people in her apartment; committed to a psychiatric clinic.";Cannibal;Granny Ripper, Baba Yaga;Cannibalism;Hedonistic;Female;Adult;Male;None
Herbert Mullin;4/18/1947;United States;1972-1973;13;;1947;1972;25;Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life.;Unknown;The Psychopath of Santa Cruz;Mental Illness;Visionary;Male;Adult;Male;None
Albert DeSalvo;;United States;1962-1964;13;;;1962;;Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession. Sentenced to life for a series of rapes, he was murdered in prison. DeSalvo's body was exhumed for D;Rapist, Strangler, Sexual Predator;Boston Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Lorenzo Gilyard;5/24/1950;United States;1977-1993;13;;1950;1977;27;Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.;Hate Crime, Strangler;The Kansas City Strangler;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Vladimir Storozhenko;;Soviet Union;1978-1981;13;;;1978;;"Tortured and murdered women for sexual pleasure; four other inncent men were initially convicted for his crimes; executed 1984.";Sexual Predator, Strangler, Torturer;Smolensky Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Vasiliy Kulik;1/17/1956;Soviet Union;1984-1986;13;;1956;1984;28;Killed at least 13 victims from 1984-1986. Executed by firing squad in 1989.;Unknown;The Irkutsk Monster;Power;Power/Control;Male;Adult;Mixed;None
Nikolai Dudin;12/22/1973;Soviet Union?Ç¬†Russia;1987-2002;13;;1973;1987;14;"Killed his father in 1987, and after release, killed 12 more people while intoxicated; sentenced to life imprisonment.";Unknown;The Grim Maniac;Under the Influence;Hedonistic;Male;Adult;Male;None
Denis Pischikov;03.12.1983;Russia;2002-2003;13;;1983;2002;19;"Robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment.";Hate Crime;The Shivering Creature;Targeted Groups;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Male;Elderly
Nikolay Shubin;;Russia;2004-2006;13;;;2004;;"Paranoid schizophrenic who killed people who beat him in chess games; sentenced to compulsory treatment.";Unknown;;Mental Illness;Visionary;Male;Adult;Male;None
Johannes Mashiane;;South Africa;1982-1989;13;;;1982;;He was found guilty of 13 counts of murder and 12 counts of sodomy from 1982-1989. Committed suicide by throwing himself under a bus while being pursued by police in 1989.;Unknown;The Beast of Atteridgeville;Power;Power/Control;Male;Adult;Mixed;None
Mukosi Freddy Mulaudzi;;South Africa?Ç¬†South Africa;1990-2006;13;;;1990;;"Escaped convict, originally responsible for two murders, who murdered 11 more after his prison escape; given 11 life sentences.";Unknown;The Limpopo Serial Killer;Power;Power/Control;Male;Adult;Mixed;None
Thozamile Taki;;South Africa;2007;13;;;2007;;He murdered 13 women. Convicted in 2010.;Unknown;Sugar cane serial killer;Femicide;Power and Hedonistic;Male;Adult;Female;None
Rainbow Maniac;;Brazil;2007-2008;13;;;2007;;Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba.;Hate Crime;;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Male;None
Naceur Damergi;;Tunisia;1980s-1988;13;;;1980;;"Raped and killed minors in the Nabeul region; executed by hanging in 1990.[155]";Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Adolf Seefeldt;3/6/1870;German Empire?Ç¬†Weimar Republic?Ç¬†Nazi Germany;1908-1935;12;100;1870;1908;38;"Sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total.[156] Executed by guillotine in 1936.";Pedophile, Sexual Predator;The Sandman;Sexual Assault;Hedonistic - Lust;Male;Child;Male;None
Donald Henry Gaskins;3/13/1933;United States;1953-1982;12;31-80+;1933;1953;20;Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated??¬Ä¬îone while Gaskins had been on death row. Later claimed on death;Unknown;The Meanest Man in America, Pee Wee;Power;Power/Control;Male;Adult;Mixed;None
William Suff;8/20/1950;United States;1986-1992;12;22;1950;1986;36;Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County, Californ;Rapist, Torturer, Strangler, Sexual Predator;Riverside Prostitute Killer, Lake Elsinore Killer;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Vladimir Romanov;;Soviet Union?Ç¬†Russia;1991-2005;12;20;;1991;;"Pedophile who raped and murdered girls and young women in the Kaliningrad Oblast; committed suicide while imprisoned.";Pedophile, Rapist, Sexual Predator;The Kaliningrad Maniac;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Maury Travis;10/25/1965;United States;2000-2002;12;17;1965;2000;35;He killed prostitutes in the St. Louis area from 2000 to 2002. Travis was caught when he mailed an Expedia.com map printout to a St. Louis newspaper, police traced the printout to Travis' home computer. He claimed to have murdered seventeen women in a let;Serial Killer, Torturer, Strangler;The Video Strangler;Femicide;Power and Hedonistic;Male;Adult;Female;None
Dennis Nilsen;11/23/1945;United Kingdom;1978-1983;12;15-16;1945;1978;33;Nilsen murdered and dismembered young men in London between 1978 and 1983. Nilsen observed a ritual in which he bathed and dressed the victims' bodies before dissecting and disposing of the remains. He kept various body parts around his home for an extend;Necrophiliac, Strangler, Rapist, Sexual Predator;The Muswell Hill Murderer, the Kindly Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Kenneth Bianchi;5/22/1951;United States;1977-1978;12;15;1951;1977;26;"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life.";Sexual Predator, Strangler, Rapist, Torturer, Stalker;"One of the ""Hillside Stranglers""";Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Charles Sobhraj;04.06.1944;Thailand?Ç¬†?Ç¬†?Ç¬†Nepal?Ç¬†India?Ç¬†Malaysia;1975-1976;12;13;1944;1975;31;French con man that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and from 2004 serving a life sentence in Nepal.;Unknown;The Bikini Killer, The Serpent;Femicide;Power and Hedonistic;Male;Adult;Female;None
Abdallah al-Hubal;;Yemen;1990-1998;12;;;1990;;"Killed seven people after a Yemeni reunion; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police.";Unknown;;Power;Power/Control;Male;Adult;Male;None
Nikolai Shestakov;;Soviet Union;1975;12;;;1975;;"Truck driver who raped and killed girls and young women; supposedly executed in 1977.";Rapist, Sexual Predator;The Luberetsky Maniac;Sexual Assault, Pedophilia;Hedonistic - Lust;Male;Adult;Female;None
Anatoly Sedykh;4/20/1963;Russia;1998-2003;12;;1963;1998;35;"Raped and killed women around Lipetsk, then robbed their corpses; sentenced to life imprisonment.";Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Joseph Christopher;7/26/1955;United States;1980-1981;12;;1955;1980;25;Racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer.;Unknown;The Midtown Slasher;Power;Power/Control;Male;Adult;Male;None
"""Paraquat murders"" killer";;Japan;1985;12;;;1985;;Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Enriqueta Mart??¬≠;2/2/1868;Spain;1900-1912;12;12;1868;1900;32;Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in ;Vampire;The Vampire of Barcelona, The Vampire of the Raval;Power, Mental Illness;Hedonistic;Female;Child;Mixed;None
Herb Baumeister;04.07.1947;United States;1990-1996;lis.16;25;1947;1990;43;"Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Committed suicide by shooting himself when faced with arrest.";Hate Crime, Strangler, Torturer;The I-70 Strangler;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Male;None
John Bunting;;Australia;1992-1999;11;;;1992;;"Ringleader in the Snowtown murders (aka Bodies in the Barrels Murders); sentenced to 11 consecutive life sentences without the possibility of parole.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Sergey Golovkin;11/26/1959;Soviet Union?Ç¬†Russia;1986-1992;11;40+;1959;1986;27;"Killed at least 11 boys in the Moscow area between 1986 and 1992. Executed by gunshot in 1998; last person executed in Russia before the death penalty was abolished.";Rapist, Necrophiliac, Torturer, Strangler, Sexual Predator;The Fisher, The Boa;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Juana Barraza;12/27/1957;Mexico;late 1990s-2006;11;29-49;1957;;;Female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.;Hate Crime, Rapist, Strangler, Sexual Predator;La Mataviejitas, The Old Lady Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;Elderly
Zhang Yongming;;China;2008-2012;11;17-20;;2008;;Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.;Cannibal, Cannibal, Strangler;The Cannibal Killer, the Cannibal Monster of Yunnan;Cannibalism;Hedonistic;Male;Adult;Mixed;None
Jack Unterweger;8/16/1951;Austria?Ç¬†United States?Ç¬†Czechoslovakia;1974-1992;11;15;1951;1974;23;"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have ki";Rapist, Strangler, Sexual Predator;Jack the Writer, H??¬§fenliterat;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Vaughn Greenwood;;United States;1964-1975;11;13;;1964;;Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drank their blood. Sentenced to imprisonment for life.;Vampire;Skid Row Slasher;Power;Power/Control;Male;Adult;Male;None
Benjamin Atkins;8/26/1968;United States;1991-1992;11;;1968;1991;23;Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS.;Rapist, Strangler, Sexual Predator;The Woodward Corridor Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Nannie Doss;11.04.1905;United States;1927-1954;11;;1905;1927;22;Doss' preferred method of killing was poisoning by arsenic. She killed four husbands, two children, her two sisters, her mother, a grandson, and a mother-in-law. Her husband, Samuel Luther Doss, died on October 12th 1954. Doss pled guilty on May 17th 1955;Unknown;Giggling Nanny, Giggling Granny, Jolly Black Widow;Power;Power/Control;Female;Child;Male;None
Clifford Olson;01.01.1940;Canada;1980-1981;11;;1940;1980;40;Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected. Died from cancer in 2011.;Rapist, Strangler, Sexual Predator;The Beast of British Columbia;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Henri D??¬©sir??¬© Landru;4/12/1869;France;1915-1919;11;Unknown;1869;1915;46;He put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained ;Financial Motive;Bluebeard;Financial Gain;Hedonistic;Male;Adult;Female;None
West Mesa Killer;;United States;2003-2005;11;;;2003;;Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Anthony Sowell;8/19/1959;United States;2007-2009;11;Unknown;1959;2007;48;He was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death.;Rapist, Necrophiliac, Strangler, Sexual Predator;The Cleveland Strangler;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Andre Crawford;3/20/1962;United States;1993-1999;11;;1962;1993;31;Crawford committed acts of necrophilia after murdering eleven women between 1993 and 1999. Sentenced to life in prison. He was a transient who lived in vacant buildings in Chicago.;Necrophiliac, Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Francisco Garc??¬≠a Escalero;5/24/1948;Spain;1987-1994;11;;1948;1987;39;A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 prostitutes and other homeless people between 1987 and 1994.Died in 2014.;Cannibal, Necrophiliac, Cannibal, Rapist, Sexual Predator;The Killer Beggar;Cannibalism, Sexual Assault;Hedonistic;Female;Adult;Female;None
